institution.displayName,institution.schoolType,ranking.sortRank,searchData.enrollment.rawValue,searchData.acceptanceRate.rawValue,searchData.hsGpaAvg.rawValue,searchData.satAvg.displayValue,searchData.engineeringRepScore.rawValue,searchData.businessRepScore.rawValue,searchData.computerScienceRepScore.rawValue
Johnson C. Smith University,national-liberal-arts-colleges,-1,1194,45.0,2.4,800-980,,,
Juniata College,national-liberal-arts-colleges,89,1256,74.0,3.8,1160-1350,,,
Kalamazoo College,national-liberal-arts-colleges,68,1241,80.0,3.7,1158-1380,,,
Kansas State University,national-universities,166,15619,96.0,3.6,,2.6,3.0,2.8
Kean University,national-universities,-1,10573,79.0,3.2,920-1120,,,< 2.0
Keiser University,national-universities,219,17990,96.0,,,,,
Kennesaw State University,national-universities,-1,38973,82.0,3.3,1050-1250,2.9,2.9,2.4
Kent State University,national-universities,212,21133,87.0,3.6,1000-1210,,2.7,2.2
Kenyon College,national-liberal-arts-colleges,31,1875,37.0,,1340-1500,,,
The King's College,national-liberal-arts-colleges,-1,384,31.0,3.8,1140-1390,,,
Knox College,national-liberal-arts-colleges,72,1156,71.0,3.8,1160-1385,,,< 2.0
Lafayette College,national-liberal-arts-colleges,39,2725,41.0,3.5,1300-1460,3.8,,2.2
Lake Forest College,national-liberal-arts-colleges,85,1661,64.0,3.6,1130-1345,,,
Lamar University,national-universities,-1,8394,88.0,3.0,910-1120,< 2.0,< 2.0,< 2.0
Lane College,national-liberal-arts-colleges,-1,1047,66.0,2.6,750-870,,,
La Salle University,national-universities,202,2746,84.0,3.5,1050-1250,,2.5,< 2.0
Lawrence University,national-liberal-arts-colleges,63,1483,75.0,3.5,1230-1460,,,
Lehigh University,national-universities,51,5451,46.0,,1325-1490,3.3,3.2,3.0
Lesley University,national-universities,-1,1861,84.0,,,,,
Lewis & Clark College,national-liberal-arts-colleges,94,2126,79.0,3.9,1240-1420,,,
Liberty University,national-universities,-1,48135,50.0,3.5,1040-1280,2.3,,< 2.0
Lincoln Memorial University,national-universities,299,1673,75.0,3.5,993-1226,,,
Linfield University,national-liberal-arts-colleges,120,1283,83.0,3.7,1050-1210,,,
Lipscomb University,national-universities,212,2952,74.0,3.7,1100-1270,2.4,2.2,< 2.0
Loma Linda University,national-universities,-2,1168,,,,,,
Long Island University,national-universities,-1,10707,93.0,3.3,1100-1320,,< 2.0,< 2.0
Louisiana State University--Baton Rouge,national-universities,176,29273,71.0,3.7,1130-1320,2.5,3.1,2.8
Louisiana Tech University,national-universities,317,10053,66.0,3.6,1070-1280,2.2,2.5,2.3
Loyola Marymount University,national-universities,77,7127,46.0,3.9,1250-1420,3.5,3.1,
Loyola University Chicago,national-universities,115,11819,77.0,3.7,1160-1360,3.0,3.1,
Loyola University New Orleans,national-universities,202,3365,78.0,3.5,1050-1240,,2.9,
Luther College,national-liberal-arts-colleges,107,1744,76.0,3.6,1088-1318,,,< 2.0
Lycoming College,national-liberal-arts-colleges,111,1095,75.0,3.6,1080-1250,,,
Lyon College,national-liberal-arts-colleges,-1,580,27.0,,1050-1195,,,
Macalester College,national-liberal-arts-colleges,27,2244,31.0,,1340-1515,,,
Marian University (IN),national-universities,250,2980,76.0,,970-1170,,,
Marquette University,national-universities,83,7660,86.0,3.6,1180-1360,2.4,3.0,2.5
Marshall University,national-universities,299,8001,98.0,3.7,930-1170,2.9,2.4,< 2.0
Martin University,national-liberal-arts-colleges,-1,170,,,,,,
Mary Baldwin University,national-universities,-1,1489,89.0,3.4,940-1120,,,
